10,11/14/2021,New England,Cleveland,45,7,60622
10,11/14/2021,NY Jets,Buffalo,45,17,70240
10,11/14/2021,Pittsburgh,Detroit,16,16,62125
10,11/14/2021,Washington,Tampa Bay,29,19,65948
10,11/14/2021,Arizona,Carolina,10,34,65878
10,11/14/2021,LA Chargers,Minnesota,20,27,77626
10,11/14/2021,Denver,Philadelphia,13,30,58716
10,11/14/2021,Green Bay,Seattle,17,0,64256
10,11/14/2021,Las Vegas,Kansas City,14,41,69414
10,11/15/2021,San Francisco,LA Rams,31,10,52128
11,11/18/2021,Atlanta,New England,0,25,68286
11,11/21/2021,Buffalo,Indianapolis,15,41,69866
11,11/21/2021,Chicago,Baltimore,13,16,73350
11,11/21/2021,Cleveland,Detroit,13,10,60679
11,11/21/2021,Tennessee,Houston,13,22,67431
11,11/21/2021,Minnesota,Green Bay,34,31,60268
11,11/21/2021,NY Jets,Miami,17,24,73494
11,11/21/2021,Philadelphia,New Orleans,40,29,70240
11,11/21/2021,Carolina,Washington,21,27,61712
11,11/21/2021,Jacksonville,San Francisco,10,30,66959
11,11/21/2021,Las Vegas,Cincinnati,13,32,72303
11,11/21/2021,Kansas City,Dallas,19,9,69796
11,11/21/2021,Seattle,Arizona,13,23,68833
11,11/21/2021,LA Chargers,Pittsburgh,41,37,65643
11,11/22/2021,Tampa Bay,NY Giants,30,10,67395
12,11/25/2021,Detroit,Chicago,14,16,70355
12,11/25/2021,Dallas,Las Vegas,33,36,63238
12,11/25/2021,New Orleans,Buffalo,6,31,73494
12,11/28/2021,Cincinnati,Pittsburgh,41,10,75807
12,11/28/2021,Indianapolis,Tampa Bay,31,38,56355
12,11/28/2021,Miami,Carolina,33,10,77948
12,11/28/2021,New England,Tennessee,36,13,65120
12,11/28/2021,NY Giants,Philadelphia,13,7,66140
12,11/28/2021,Jacksonville,Atlanta,14,21,60031
12,11/28/2021,Houston,NY Jets,14,21,62389
12,11/28/2021,Denver,LA Chargers,28,13,65878
12,11/28/2021,Green Bay,LA Rams,36,28,69170
12,11/28/2021,San Francisco,Minnesota,34,26,73969
12,11/28/2021,Baltimore,Cleveland,16,10,71493
12,11/29/2021,Washington,Seattle,15,15,52680
13,12/2/2021,New Orleans,Dallas,17,27,60803
13,12/5/2021,Atlanta,Tampa Bay,17,30,69694
13,12/5/2021,Chicago,Arizona,22,33,60803
13,12/5/2021,Cincinnati,LA Chargers,22,41,51414
13,12/5/2021,Detroit,Minnesota,29,27,45691
13,12/5/2021,Miami,NY Giants,20,9,65291
13,12/5/2021,NY Jets,Philadelphia,18,33,73185
13,12/5/2021,Houston,Indianapolis,0,31,70801
13,12/5/2021,Las Vegas,Washington,15,17,61607
13,12/5/2021,LA Rams,Jacksonville,37,7,65898
13,12/5/2021,Pittsburgh,Baltimore,20,19,69170
13,12/5/2021,Seattle,San Francisco,30,23,65120
13,12/5/2021,Kansas City,Denver,22,9,59303
13,12/6/2021,Buffalo,New England,10,14,68758
14,12/9/2021,Minnesota,Pittsburgh,36,28,63999
14,12/12/2021,Cleveland,Baltimore,24,22,72243
14,12/12/2021,Tennessee,Jacksonville,20,0,50481
14,12/12/2021,Kansas City,Las Vegas,48,9,67431
14,12/12/2021,NY Jets,New Orleans,9,30,76211
14,12/12/2021,Washington,Dallas,20,27,78273
14,12/12/2021,Carolina,Atlanta,21,29,67610
14,12/12/2021,Houston,Seattle,13,33,73278
14,12/12/2021,Denver,Detroit,38,10,70240
14,12/12/2021,LA Chargers,NY Giants,37,21,66718
14,12/12/2021,Cincinnati,San Francisco,23,26,69129
14,12/12/2021,Tampa Bay,Buffalo,33,27,71918
14,12/12/2021,Green Bay,Chicago,45,30,67808
14,12/13/2021,Arizona,LA Rams,23,30,61308
15,12/16/2021,LA Chargers,Kansas City,28,34,70815
15,12/18/2021,Indianapolis,New England,27,17,65398
15,12/19/2021,Buffalo,Carolina,31,14,60082
15,12/19/2021,Detroit,Arizona,30,12,67431
15,12/19/2021,Miami,NY Jets,31,24,76134
15,12/19/2021,NY Giants,Dallas,6,21,45211
15,12/19/2021,Pittsburgh,Tennessee,19,13,66391
15,12/19/2021,Jacksonville,Houston,16,30,60252
15,12/19/2021,Denver,Cincinnati,10,15,70240
15,12/19/2021,San Francisco,Atlanta,31,13,71565
15,12/19/2021,Baltimore,Green Bay,30,31,66035
15,12/19/2021,Tampa Bay,New Orleans,0,9,77413
15,12/20/2021,Cleveland,Las Vegas,14,16,69796
15,12/20/2021,Chicago,Minnesota,9,17,59521
15,12/21/2021,LA Rams,Seattle,20,10,71650
15,12/21/2021,Philadelphia,Washington,27,17,65744
16,12/23/2021,Tennessee,San Francisco,20,17,63900
16,12/25/2021,Green Bay,Cleveland,24,22,68638
16,12/25/2021,Arizona,Indianapolis,16,22,71918
16,12/26/2021,Atlanta,Detroit,20,16,63922
16,12/26/2021,Cincinnati,Baltimore,41,21,93482
16,12/26/2021,Minnesota,LA Rams,23,30,77901
16,12/26/2021,New England,Buffalo,21,33,65674
16,12/26/2021,NY Jets,Jacksonville,26,21,73371
16,12/26/2021,Philadelphia,NY Giants,34,10,60972
16,12/26/2021,Carolina,Tampa Bay,6,32,66708
16,12/26/2021,Houston,LA Chargers,41,29,65878
16,12/26/2021,Seattle,Chicago,24,25,69170
16,12/26/2021,Kansas City,Pittsburgh,36,10,67120
16,12/26/2021,Las Vegas,Denver,17,13,69796
16,12/26/2021,Dallas,Washington,56,14,68492
16,12/27/2021,New Orleans,Miami,3,20,69361
17,1/2/2022,Buffalo,Atlanta,29,15,70328
17,1/2/2022,Chicago,NY Giants,29,3,64948
17,1/2/2022,Cincinnati,Kansas City,34,31,59594
17,1/2/2022,Tennessee,Miami,34,3,64505
17,1/2/2022,Indianapolis,Las Vegas,20,23,93459
17,1/2/2022,New England,Jacksonville,50,10,77832
17,1/2/2022,NY Jets,Tampa Bay,24,28,65985
17,1/2/2022,Washington,Philadelphia,16,20,70240
17,1/2/2022,Baltimore,LA Rams,19,20,65878
17,1/2/2022,LA Chargers,Denver,34,13,69170
17,1/2/2022,San Francisco,Houston,23,7,72243
17,1/2/2022,Dallas,Arizona,22,25,63624
17,1/2/2022,New Orleans,Carolina,18,10,71612
17,1/2/2022,Seattle,Detroit,51,29,68043
17,1/2/2022,Green Bay,Minnesota,37,10,69091
17,1/3/2022,Pittsburgh,Cleveland,26,14,51563
18,1/8/2022,Denver,Kansas City,24,28,63858
18,1/8/2022,Philadelphia,Dallas,26,51,68336
18,1/9/2022,Cleveland,Cincinnati,21,16,70453
18,1/9/2022,Detroit,Green Bay,37,30,64783
18,1/9/2022,Minnesota,Chicago,31,17,67431
18,1/9/2022,NY Giants,Washington,7,22,76012
18,1/9/2022,Jacksonville,Indianapolis,26,11,56735
18,1/9/2022,Baltimore,Pittsburgh,13,16,66722
18,1/9/2022,Houston,Tennessee,25,28,60516
18,1/9/2022,Atlanta,New Orleans,20,30,74447
18,1/9/2022,Buffalo,NY Jets,27,10,62068
18,1/9/2022,LA Rams,San Francisco,24,27,66514
18,1/9/2022,Miami,New England,33,24,66625
18,1/9/2022,Arizona,Seattle,30,38,69923
18,1/9/2022,Tampa Bay,Carolina,41,17,69796
18,1/9/2022,Las Vegas,LA Chargers,35,32,65473
